Session,Window,T0_sec,T1_sec,Tmid_sec,Channel,Exponent,Offset
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,PO10,1.0091736648375278,2.0345218257824422
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,P8,0.9891595151593443,2.1397972614586624
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,P4,1.1344962737513937,2.2416863130292866
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,CP2,1.170599903518788,1.9415730890238976
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,CP6,1.0595549182632964,2.148292455868565
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,T8,0.8151495116880391,1.9397849545861339
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,FT10,1.201447165209009,2.165801148728512
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,FC6,1.065520129917983,2.101477693996576
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,C4,1.0758407506697223,2.1261420947477037
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,FC2,1.1802854596479053,2.083949867570402
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,F4,1.1729950812671601,2.1871589696130567
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,F8,1.1417093687129791,2.1641918858617704
PLANT_KINGDOM_OUTDOOR,3,15.0,35.0,25.0,Fp2,1.0691620465312577,2.0880139698341527
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,Cz,1.0914047152399693,2.111618252460747
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,Fz,1.1058286728401254,2.029062000519932
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,Fp1,1.0167128697081707,1.9930525982511134
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,F7,1.026997617573643,1.8857340147884052
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,F3,1.02824300086931,1.9007116397353583
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,FC1,1.0762424137273887,1.7594938166684582
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,C3,1.0577418569681414,1.8772745547394907
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,FC5,0.9913729757216633,1.825845903262334
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,FT9,1.0695612745099052,1.7894601787066582
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,T7,0.6712214895582029,1.4484762022197952
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,CP5,0.9322574437693721,1.7373090854331028
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,CP1,1.0159886167648422,1.8291456206582668
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,P3,0.9658063977354207,1.9009439888330704
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,P7,0.793638240545446,1.618683396203173
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,PO9,0.6856687876307264,1.5701416007844387
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,O1,0.812487251526479,1.8947358257352402
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,Pz,0.9828839431100819,1.7459095849863413
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,Oz,0.8721926489112012,1.8994885790311562
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,O2,0.902295802547766,1.9711600119435306
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,PO10,0.9230276978662055,1.878767626622215
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,P8,0.8819476922854051,1.9920299932487615
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,P4,1.0379249610238823,2.1027413843994305
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,CP2,1.0827814210042033,1.793756078142525
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,CP6,0.9692132209730249,2.0206050525534045
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,T8,0.7259918585995196,1.810229492603828
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,FT10,1.1452069900001087,2.0859153876710477
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,FC6,0.981639045550871,1.9841388119971224
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,C4,0.9943106214105766,2.006675374793633
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,FC2,1.1072613671622678,1.9571911588051645
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,F4,1.093815167351469,2.070176826019614
PLANT_KINGDOM_OUTDOOR,4,20.0,40.0,30.0,F8,1.1061293583626626,2.1037573399295217
