t_mid_s,Time_mid,Session,Band,Region,Entropy,n_ch
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.8944335099052908,4
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9668182622441058,3
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.9552753042521331,9
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9754161844037135,5
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9913568100274551,11
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.941007164900836,4
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9790936131468193,3
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9748269611673286,9
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9940911175548094,5
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9924468803761463,11
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9527703000362363,4
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9731873226855349,3
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9793491953996082,9
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.988630697762073,5
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9898255055718943,11
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.8897522462295543,4
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9860133039806399,3
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9758131851197341,9
25.0,2025-10-30 13:49:35.459199905,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.997176767947367,5
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9823295441031007,11
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9388419062508593,4
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9491796516617338,3
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9700638317657645,9
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9869590063621694,5
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9844277967645644,11
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9199937405222333,4
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9555356969757949,3
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.9118897920511654,9
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9386556921035208,5
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9920478876630527,11
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.94634070019475,4
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9840731449578766,3
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9478380904249442,9
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9745180318744882,5
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9937240133264797,11
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9461687886533698,4
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9832315893204874,3
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9810747829567616,9
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.981688877823642,5
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.992822229863628,11
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9233134622901313,4
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9936507715945837,3
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.976970236150064,9
30.0,2025-10-30 13:49:40.458780050,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9954632977536483,5
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9790940809797593,11
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9164193896074739,4
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9644763438166281,3
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9749896681950089,9
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9811815612659367,5
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9889083093783999,11
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9455939099247515,4
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.973455609703734,3
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.9094644153926343,9
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9375685628851147,5
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9931486277570238,11
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.9338033104256177,4
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9744328544831796,3
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9436220665703593,9
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9601849510930106,5
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9915911244458684,11
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9544692249343364,4
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9779094632938345,3
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9689912088786898,9
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9751838782241651,5
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9891187473092461,11
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9477493879105451,4
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9867593290761737,3
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9723040566093897,9
35.0,2025-10-30 13:49:45.457859993,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9933585229529476,5
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.9873942057032463,11
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9590180350554156,4
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9669850655075392,3
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9784911844884825,9
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9833445034171795,5
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9907502342680055,11
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.9350684398364826,4
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9648240788940542,3
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.922601291085394,9
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9489549267853751,5
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9921763704241904,11
